facet_id,facet_name,category,description,scale_min,scale_max,scale_type
14,Assertiveness and control in relationships,Personality,Evaluates personality trait: Assertiveness and control in relationships,1,5,ordinal
127,Big Five facet Openness – Artistic Interests,Personality,Evaluates personality trait: Big Five facet Openness – Artistic Interests,1,5,ordinal
71,Character strength: Perseverance,Personality,Evaluates personality trait: Character strength: Perseverance,1,5,ordinal
155,Character strength: Social Intelligence,Personality,Evaluates personality trait: Character strength: Social Intelligence,1,5,ordinal
294,Conscientiousness (C),Personality,Evaluates personality trait: Conscientiousness (C),1,5,ordinal
297,Conscientiousness Facets,Personality,Evaluates personality trait: Conscientiousness Facets,1,5,ordinal
363,Decision-Making Confidence,Personality,Evaluates personality trait: Decision-Making Confidence,1,5,ordinal
265,Disagreeableness,Personality,Evaluates personality trait: Disagreeableness,1,5,ordinal
77,Dishonesty,Personality,Evaluates personality trait: Dishonesty,1,5,ordinal
345,Enneagram Personality Types,Personality,Evaluates personality trait: Enneagram Personality Types,1,5,ordinal
149,HEXACO Personality Inventory Facets,Personality,Evaluates personality trait: HEXACO Personality Inventory Facets,1,5,ordinal
361,HEXACO domain: Honesty-Humility,Personality,Evaluates personality trait: HEXACO domain: Honesty-Humility,1,5,ordinal
298,Honesty-humility trait score,Personality,Evaluates personality trait: Honesty-humility trait score,1,5,ordinal
23,HonestyHumility,Personality,Evaluates personality trait: HonestyHumility,1,5,ordinal
117,Neuroticism,Personality,Evaluates personality trait: Neuroticism,1,5,ordinal
27,Openness,Personality,Evaluates personality trait: Openness,1,5,ordinal
228,Psychological construct: Resilience-Trait score,Personality,Evaluates personality trait: Psychological construct: Resilience-Trait score,1,5,ordinal
94,Social Boldness,Personality,Evaluates personality trait: Social Boldness,1,5,ordinal
135,Spiritual virtue: Humility practice index,Personality,Evaluates personality trait: Spiritual virtue: Humility practice index,1,5,ordinal
56,Unassertiveness,Personality,Evaluates personality trait: Unassertiveness,1,5,ordinal
244,Harmfulness,Safety_Toxicity,Detects safety concern or toxic behavior: Harmfulness,1,5,ordinal
336,Hatefulness,Safety_Toxicity,Detects safety concern or toxic behavior: Hatefulness,1,5,ordinal
37,Passive-Aggressive,Safety_Toxicity,Detects safety concern or toxic behavior: Passive-Aggressive,1,5,ordinal
308,Safety compliance,Safety_Toxicity,Detects safety concern or toxic behavior: Safety compliance,1,5,ordinal
320,Desire to influence others,Social,Measures social skill or interaction quality: Desire to influence others,1,5,ordinal
91,Listening Skills Subcomponents,Social,Measures social skill or interaction quality: Listening Skills Subcomponents,1,5,ordinal
24,Relationship Building Themes,Social,Measures social skill or interaction quality: Relationship Building Themes,1,5,ordinal
264,Social Desirability Bias,Social,Measures social skill or interaction quality: Social Desirability Bias,1,5,ordinal
293,Social-cognition variable: Faux Pas Recognition accuracy,Social,Measures social skill or interaction quality: Social-cognition variable: Faux Pas Recognition accuracy,1,5,ordinal
341,Social-cognition variable: Mentalizing network activation,Social,Measures social skill or interaction quality: Social-cognition variable: Mentalizing network activation,1,5,ordinal
354,Buddhist practice: Eightfold Path – Right Intention level,Spiritual_Religious,Spiritual or religious practice: Buddhist practice: Eightfold Path – Right Intention level,1,5,ordinal
365,Connectedness: Belief in interconnections,Spiritual_Religious,Spiritual or religious practice: Connectedness: Belief in interconnections,1,5,ordinal
248,Discernment practice hours / week,Spiritual_Religious,Spiritual or religious practice: Discernment practice hours / week,1,5,ordinal
153,Energy-healing practice: Reiki sessions / year,Spiritual_Religious,Spiritual or religious practice: Energy-healing practice: Reiki sessions / year,1,5,ordinal
279,Hindu spiritual metric: Bhagavad-Gita study hours,Spiritual_Religious,Spiritual or religious practice: Hindu spiritual metric: Bhagavad-Gita study hours,1,5,ordinal
216,Hindu spiritual metric: Vrata vows observed / year,Spiritual_Religious,Spiritual or religious practice: Hindu spiritual metric: Vrata vows observed / year,1,5,ordinal
213,Hindu spiritual metric: Yoga discipline hours / week,Spiritual_Religious,Spiritual or religious practice: Hindu spiritual metric: Yoga discipline hours / week,1,5,ordinal
307,Islamic practice: Seerah study hours,Spiritual_Religious,Spiritual or religious practice: Islamic practice: Seerah study hours,1,5,ordinal
198,Jewish spiritual metric: Sukkot lulav-shaking days,Spiritual_Religious,Spiritual or religious practice: Jewish spiritual metric: Sukkot lulav-shaking days,1,5,ordinal
44,Mindfulness facet: Observing,Spiritual_Religious,Spiritual or religious practice: Mindfulness facet: Observing,1,5,ordinal
325,New-Age spiritual metric: Channeling sessions / year,Spiritual_Religious,Spiritual or religious practice: New-Age spiritual metric: Channeling sessions / year,1,5,ordinal
262,Practice frequency: Mantra meditation,Spiritual_Religious,Spiritual or religious practice: Practice frequency: Mantra meditation,1,5,ordinal
170,Practice frequency: Walking meditation,Spiritual_Religious,Spiritual or religious practice: Practice frequency: Walking meditation,1,5,ordinal
300,Religious coping – Negative,Spiritual_Religious,Spiritual or religious practice: Religious coping – Negative,1,5,ordinal
140,Religious practice: Quran khatam cycles per year,Spiritual_Religious,Spiritual or religious practice: Religious practice: Quran khatam cycles per year,1,5,ordinal
39,Role of Spirituality in Community Involvement,Spiritual_Religious,Spiritual or religious practice: Role of Spirituality in Community Involvement,1,5,ordinal
134,Sufi practice: Sufi retreat attendance count,Spiritual_Religious,Spiritual or religious practice: Sufi practice: Sufi retreat attendance count,1,5,ordinal
69,Alphabetical filing skills,Work_Professional,Work-related competency: Alphabetical filing skills,1,5,ordinal
380,Computer Skills,Work_Professional,Work-related competency: Computer Skills,1,5,ordinal
75,Hardworking,Work_Professional,Work-related competency: Hardworking,1,5,ordinal
67,Inefficiency,Work_Professional,Work-related competency: Inefficiency,1,5,ordinal
109,Meeting Deadlines,Work_Professional,Work-related competency: Meeting Deadlines,1,5,ordinal
68,Network basics,Work_Professional,Work-related competency: Network basics,1,5,ordinal
123,Numeric Filing Skills,Work_Professional,Work-related competency: Numeric Filing Skills,1,5,ordinal
98,Skill-endorsements count,Work_Professional,Work-related competency: Skill-endorsements count,1,5,ordinal
236,Soft-skill training hours,Work_Professional,Work-related competency: Soft-skill training hours,1,5,ordinal
46,Training-cycle length,Work_Professional,Work-related competency: Training-cycle length,1,5,ordinal
187,Volunteer Work,Work_Professional,Work-related competency: Volunteer Work,1,5,ordinal
70,Work Styles,Work_Professional,Work-related competency: Work Styles,1,5,ordinal
